typescript,364
tslint,227
mocha,216
@types/node,200
gulp,156
webpack,140
eslint,125
karma,122
chai,115
rimraf,114
@types/mocha,110
karma-chrome-launcher,109
lodash,104
react,100
express,92
tslint-microsoft-contrib,92
del,87
jquery,85
vscode,83
react-dom,80
karma-jasmine,78
glob,78
request,75
jasmine,71
ts-loader,69
css-loader,68
@types/jasmine,67
jest,65
babel-core,64
@types/jquery,63
style-loader,62
semver,61
fs-extra,60
gulp-util,60
karma-sourcemap-loader,58
ts-node,58
coveralls,58
mkdirp,57
@types/react,57
sinon,57
moment,56
babel-preset-es2015,54
powerbi-visuals-tools,54
karma-coverage,54
gulp-typescript,54
@types/lodash,53
shelljs,52
body-parser,52
gulp-sourcemaps,52
run-sequence,51
babel-cli,50
jasmine-core,50
gulp-tslint,49
q,49
d3,49
@types/d3,48
grunt,46
@types/react-dom,46
node-sass,46
prettier,45
babel-loader,45
powerbi-visuals-utils-dataviewutils,44
yargs,44
karma-mocha,43
gulp-uglify,41
webpack-cli,41
karma-webpack,40
gulp-rename,40
webpack-dev-server,40
debug,39
rxjs,39
chalk,38
babel-eslint,38
karma-phantomjs-launcher,37
browserify,37
minimist,36
puppeteer,36
@types/jest,35
minimatch,34
cross-env,34
async,34
karma-mocha-reporter,34
npm-run-all,33
underscore,33
rollup,33
file-loader,33
typings,32
flow-bin,32
sass-loader,32
morgan,31
powerbi-models,31
gulp-concat,31
jasmine-jquery,31
@types/chai,30
powerbi-visuals-utils-typeutils,30
gulp-mocha,30
karma-typescript-preprocessor,30
istanbul,29
babel-polyfill,29
husky,29
karma-chai,29
zone.js,29
powerbi-visuals-utils-formattingutils,29
@types/fs-extra,28
xml2js,28
ts-jest,28
html-webpack-plugin,28
core-js,27
powerbi-visuals-utils-testutils,27
powerbi-visuals-utils-interactivityutils,26
@angular/compiler,26
babel-preset-env,26
@angular/core,26
http-server,26
@angular/common,26
@babel/core,26
@angular/platform-browser,26
@angular/platform-browser-dynamic,26
karma-remap-istanbul,26
eslint-plugin-import,26
phantomjs-prebuilt,25
url-loader,25
redux,25
requirejs,25
@types/jasmine-jquery,25
eslint-plugin-react,25
react-redux,25
eslint-plugin-github,25
dotenv,24
babel-jest,24
grunt-contrib-watch,24
request-promise,24
karma-firefox-launcher,24
uuid,24
powerbi-visuals-utils-svgutils,24
vinyl-source-stream,23
mocha-junit-reporter,23
colors,23
bootstrap,23
vscode-nls,23
less,23
event-stream,22
powerbi-visuals-utils-colorutils,22
nodemon,22
cookie-parser,22
react-test-renderer,22
serve-favicon,22
@angular/forms,22
sinon-chai,22
lint-staged,21
vsce,21
vsts-task-lib,21
@angular/http,21
es6-promise,21
applicationinsights,21
vscode-languageclient,21
commander,21
uglify-js,20
node-fetch,20
gulp-sass,20
rollup-plugin-node-resolve,20
bluebird,20
gulp-eslint,20
vscode-extension-telemetry,20
tmp,20
load-grunt-tasks,20
copy-webpack-plugin,20
typedoc,20
opn,19
@angular/router,19
powerbi-visuals-utils-chartutils,19
karma-junit-reporter,19
react-native,19
tape,19
jsdom,19
extract-text-webpack-plugin,19
grunt-cli,19
grunt-contrib-copy,19
lerna,18
powerbi-visuals-utils-tooltiputils,18
grunt-contrib-concat,18
botbuilder,18
grunt-contrib-uglify,18
gulp-filter,18
should,18
through2,18
grunt-contrib-jshint,18
@babel/preset-env,18
grunt-contrib-clean,18
json-loader,18
restify,18
rollup-plugin-babel,17
gulp-header,17
@types/semver,17
object-assign,17
enzyme,17
karma-coverage-istanbul-reporter,17
protractor,17
bower,17
ws,17
@angular/compiler-cli,17
react-router,17
eslint-plugin-jsx-a11y,17
temp,17
azure-storage,17
nyc,17
tfx-cli,16
reflect-metadata,16
@types/request,16
karma-typescript,16
azure-arm-resource,16
babel-preset-flow,16
@types/webpack,16
@types/sinon,16
jsonwebtoken,16
awesome-typescript-loader,16
validator,16
react-router-dom,16
eslint-plugin-prettier,15
source-map-loader,15
chokidar,15
gulp-replace,15
vinyl-buffer,15
source-map,15
concurrently,15
immutable,15
jasmine-spec-reporter,15
js-yaml,15
eslint-plugin-flowtype,15
vscode-debugprotocol,15
adm-zip,15
raw-loader,14
gulp-babel,14
istanbul-instrumenter-loader,14
prop-types,14
babel-preset-react,14
@types/bluebird,14
babel-plugin-transform-runtime,14
promise,14
nock,14
vscode-languageserver,14
nan,14
tslib,14
which,14
tap,14
source-map-support,14
vscode-debugadapter,14
webpack-stream,14
imports-loader,14
less-loader,14
archiver,14
ms-rest,13
jshint,13
ncp,13
remap-istanbul,13
@babel/preset-react,13
grunt-contrib-compress,13
pug,13
docusaurus,13
gulp-istanbul,13
node-uuid,13
autoprefixer,13
@types/xml2js,13
classnames,13
plist,13
codelyzer,13
karma-jasmine-html-reporter,13
eslint-plugin-babel,13
babel-plugin-transform-custom-element-classes,12
gulp-plumber,12
office-ui-fabric-react,12
yeoman-generator,12
jade,12
standard,12
react-scripts,12
redux-thunk,12
xo,12
ava,12
babel-preset-react-native,12
@angular/animations,12
@babel/plugin-proposal-class-properties,12
rollup-plugin-commonjs,12
watchify,12
postcss-loader,12
karma-cli,12
markdown-it,12
handlebars,12
vscode-languageserver-types,12
axios,12
merge2,12
tslint-loader,12
karma-spec-reporter,12
uglifyjs-webpack-plugin,12
electron,11
webpack-merge,11
@types/glob,11
opener,11
https-proxy-agent,11
eslint-config-airbnb,11
babel-register,11
@types/marked,11
path,11
clang-format,11
tslint-config-prettier,11
jsonc-parser,11
@types/express,11
ejs,11
winreg,11
gulp-jshint,11
serve-static,11
assert,11
clean-css,11
chai-as-promised,11
@types/react-redux,11
exports-loader,11
@angular/cli,11
gulp-flatten,10
ionic-native,10
gulp-tsb,10
once,10
vscode-nls-dev,10
babel-preset-es2015-rollup,10
vue,10
yosay,10
pxt-core,10
inherits,10
redis,10
gulp-watch,10
@types/enzyme,10
coffee-script,10
grunt-ts,10
tslint-react,10
path-is-absolute,10
merge-stream,10
gulp-zip,10
babelify,10
connect,10
browser-sync,10
@babel/plugin-proposal-object-rest-spread,10
winston,10
ionicons,10
rollup-plugin-typescript2,10
@angular/language-service,10
eslint-config-prettier,10
graceful-fs,10
karma-sinon-chai,10
vss-web-extension-sdk,10
vscode-uri,10
ionic-angular,10
@types/q,10
supertest,10
rollup-plugin-uglify,9
url,9
monaco-editor,9
replace,9
tslint-eslint-rules,9
balanced-match,9
jest-cli,9
eslint-loader,9
concat-map,9
iconv-lite,9
@babel/cli,9
jsdoc,9
@angular/platform-server,9
@types/uuid,9
vscode-azureextensionui,9
brace-expansion,9
tar,9
babel-runtime,9
gulp-tsc,9
inflight,9
@babel/plugin-transform-flow-strip-types,9
marked,9
express-session,9
fs.realpath,9
@types/minimatch,9
@types/ws,9
mongodb,9
tick,9
socket.io,9
grunt-exec,9
mockery,9
gulp-if,9
react-bootstrap,9
d3-scale,9
wrappy,9
vscode-debugadapter-testsupport,9
jszip,9
gulp-help,9
@tensorflow/tfjs,9
fs,9
@types/react-router-dom,9
http-proxy-agent,8
parcel-bundler,8
chart.js,8
gulp-clean,8
react-addons-test-utils,8
grunt-contrib-qunit,8
fbjs-scripts,8
loader-utils,8
@types/rimraf,8
semantic-ui-less,8
@types/request-promise,8
@types/react-router,8
fbjs,8
adal-node,8
eslint-plugin-node,8
ms-rest-azure,8
systemjs,8
open,8
powerbi-visuals-api,8
yalc,8
ajv,8
@types/opn,8
cpx,8
karma-ie-launcher,8
enzyme-adapter-react-16,8
vscode-chrome-debug-core,8
request-promise-native,8
karma-browserify,8
fork-ts-checker-webpack-plugin,8
webpack-bundle-analyzer,8
@types/jasminewd2,8
superagent,8
expose-loader,8
grunt-contrib-nodeunit,8
cross-spawn,8
gulp-cssmin,8
inquirer,8
grunt-contrib-compass,8
babel-plugin-transform-object-rest-spread,8
@types/mkdirp,8
strip-json-comments,8
clean-webpack-plugin,8
node-zip,8
exit,8
@types/source-map,7
gulp-minify-css,7
@types/yargs,7
redux-saga,7
btoa,7
pg,7
font-awesome,7
eslint-config-xo-space,7
@types/karma,7
gulp-download,7
handlebars-loader,7
object-path,7
memory-fs,7
gulp-decompress,7
@octokit/rest,7
es6-shim,7
tsd,7
script-loader,7
gulp-load-plugins,7
karma-safari-launcher,7
@types/shelljs,7
copyfiles,7
uglify-es,7
monaco-editor-core,7
babel-plugin-transform-flow-strip-types,7
grunt-contrib-less,7
resolve,7
eslint-plugin-relay,7
@types/webpack-env,7
codemirror,7
tsify,7
vscode-extension-telemetry-wrapper,7
gulp-gh-pages,7
gulp-cli,7
eslint-plugin-promise,7
grunt-karma,7
sync-request,7
got,7
@babel/plugin-transform-runtime,7
cheerio,7
azure-arm-website,7
eslint-plugin-standard,7
envify,7
shx,7
lodash.merge,7
eslint-config-standard,7
execa,7
@babel/runtime,7
mime,7
gulp-sequence,7
globalize,7
compression,7
gulp-exclude-gitignore,7
whatwg-fetch,7
documentdb,7
